start_time,end_time,start_x,start_y,end_x,end_y,money
0,1321,94,76,94,76,13.0
2,363,35,96,50,97,13.0
3,767,71,18,69,41,21.28
4,587,76,59,60,70,21.28
4,1002,79,62,62,90,35.08
5,225,83,33,83,43,13.0
5,594,36,87,47,95,15.76
5,273,80,62,73,61,13.0
7,1735,65,66,7,37,75.79
7,1267,47,45,66,12,32.32
7,950,86,46,99,58,21.28
9,505,83,43,75,37,13.0
9,376,72,60,76,68,13.0
10,785,47,26,39,61,29.56
11,582,41,16,19,30,21.28
12,2534,94,67,94,67,13.0
13,1993,95,90,44,33,69.58
13,1894,27,49,84,52,42.44
13,4400,65,47,78,53,118.8
14,1126,23,33,46,94,50.03
17,468,45,65,45,65,13.0
17,2693,80,89,34,33,83.61
17,1387,72,54,15,55,61.76
21,3143,76,61,39,86,91.43
22,982,65,26,38,62,40.6
22,202,23,11,22,15,13.0
22,675,65,61,81,71,15.76
23,507,82,29,79,31,13.0
23,505,26,13,15,19,13.0
23,185,54,99,48,98,13.0
24,451,7,67,3,49,15.76
24,384,34,64,48,82,21.28
26,739,68,96,61,69,21.28
26,543,83,42,69,17,24.04
26,616,56,68,68,66,13.0
27,728,17,44,32,56,18.52
28,1340,83,47,40,9,46.12
29,120,79,54,79,50,13.0
29,119,53,11,53,11,13.0
30,266,44,96,46,89,13.0
30,729,76,53,87,69,21.28
32,552,35,38,43,60,21.28
33,420,89,51,81,59,15.76
33,1011,74,47,63,92,35.08
33,735,48,22,57,10,15.76
34,34,83,34,83,34,13.0
34,879,27,81,51,43,37.84
35,477,39,43,39,34,13.0
39,730,85,70,82,50,18.52
43,403,71,18,83,37,18.52
44,343,36,46,34,39,13.0
45,406,22,57,22,57,13.0
45,1389,53,23,57,71,69.58
46,527,22,69,36,64,13.0
47,522,94,54,88,8,29.56
49,749,91,49,92,86,29.56
49,610,25,41,18,61,18.52
49,594,72,63,40,74,26.8
50,842,45,30,71,38,21.28
50,943,36,59,32,0,37.84
52,231,76,62,75,59,13.0
54,455,76,18,77,2,13.0
56,292,25,64,20,61,13.0
56,353,43,37,34,37,13.0
57,1161,98,85,84,40,35.08
58,292,46,81,61,81,13.0
59,452,50,79,33,78,15.76
59,2015,48,23,66,99,67.97
59,2060,56,72,11,75,81.31
60,658,61,78,36,56,26.8
61,200,87,39,89,34,13.0
61,482,5,59,9,73,13.0
63,1625,67,18,18,50,57.85
63,183,74,21,74,23,13.0
64,772,88,64,87,27,26.8
65,1018,31,76,50,66,21.28
65,1228,29,39,77,75,53.94
67,236,19,80,21,78,13.0
68,897,54,32,74,12,24.04
69,685,66,41,76,64,21.28
70,224,36,76,32,78,13.0
70,1186,31,41,60,99,50.03
71,2333,95,85,14,11,128.23
71,1237,44,96,26,92,24.04
72,1949,56,10,91,24,53.94
73,964,88,66,76,50,21.28
74,1314,64,25,19,75,57.85
77,889,40,57,66,41,26.8
77,747,58,35,56,20,13.0
79,3028,76,56,80,34,62.45
79,1514,8,31,22,59,57.85
80,1082,25,41,25,41,13.0
81,630,83,35,78,79,29.56
81,1535,91,62,42,53,37.84
81,627,83,98,75,77,18.52
82,1151,23,88,18,22,43.36
82,983,78,20,67,45,26.8
83,637,16,52,0,24,26.8
86,146,92,1,92,1,13.0
88,631,81,71,72,61,13.0
88,264,91,48,90,43,13.0
88,429,73,57,71,63,13.0
88,1081,12,9,16,5,15.3
89,192,90,56,94,56,13.0
89,362,62,90,67,91,13.0
89,2569,59,95,60,39,96.95
90,389,98,87,89,82,13.0
91,921,70,24,62,62,32.32
91,690,53,16,64,8,18.52
92,310,42,93,33,96,13.0
92,1352,21,90,42,12,61.76
93,756,41,87,30,58,24.04
94,3542,52,11,7,59,100.63
95,100,75,54,75,54,13.0
95,690,66,37,72,62,21.28
96,2768,66,52,74,56,77.4
97,655,86,11,79,27,15.76
97,828,80,56,57,62,18.52
98,1133,44,11,44,11,13.0
99,615,13,78,22,79,13.0
101,908,74,62,81,27,29.56
101,1186,22,57,5,61,26.8
103,573,22,58,37,70,18.52
105,1159,44,53,53,9,40.6
105,551,68,52,71,67,15.76
107,1048,68,73,65,86,15.3
107,707,40,55,33,87,24.04
108,801,94,29,76,8,26.8
111,717,63,66,76,74,13.0
114,1090,63,82,47,43,37.84
115,1320,37,41,24,87,37.84
118,119,84,77,84,77,13.0
119,454,79,46,89,40,13.0
119,1193,39,48,78,54,32.32
119,392,45,70,43,72,13.0
122,785,25,41,66,44,26.8
122,554,39,79,31,84,13.0
123,2595,82,98,66,32,99.25
123,1134,47,50,48,18,23.58
126,1160,39,87,35,35,40.6
126,559,81,75,83,59,13.0
127,562,9,73,6,59,18.52
127,1154,39,55,50,9,37.84
129,330,23,86,26,80,13.0
129,1296,45,17,13,24,37.38
130,852,76,63,77,84,21.28
131,862,42,79,86,71,32.32
132,717,22,67,27,15,32.32
133,548,15,5,34,3,15.76
134,816,55,33,69,36,13.0
137,1007,76,65,89,50,18.52
137,137,12,41,12,41,13.0
137,343,64,40,55,37,13.0
138,1339,34,81,50,13,57.85
138,691,69,96,78,77,24.04
139,352,68,93,62,96,13.0
140,659,77,47,81,70,21.28
140,1284,40,84,56,65,31.86
144,547,51,23,73,19,18.52
146,692,72,57,65,79,18.52
147,990,46,43,62,22,21.28
147,624,53,87,60,94,13.0
147,1051,27,73,50,62,21.28
147,368,19,80,20,83,13.0
148,148,30,37,30,37,13.0
148,1855,56,33,49,90,46.12
149,781,48,22,56,32,13.0
150,811,48,23,23,41,35.08
150,240,84,29,87,28,13.0
150,1619,49,47,74,71,34.62
151,1496,90,47,75,69,26.8
152,780,38,67,25,86,21.28
152,1003,74,74,28,85,37.84
152,506,11,28,7,25,13.0
153,1086,90,94,83,36,40.6
154,480,54,88,62,90,13.0
154,586,83,43,68,18,21.28
154,1396,90,99,65,86,26.8
155,1750,88,47,23,29,50.03
157,998,46,73,74,42,35.08
158,332,5,37,3,41,13.0
160,500,83,47,83,65,15.76
165,756,81,61,90,84,18.52
165,705,75,19,51,32,24.04
165,1426,58,43,58,43,13.0
166,416,66,37,63,45,13.0
166,168,77,29,77,29,13.0
166,334,65,95,65,91,13.0
167,262,67,66,71,66,13.0
168,911,48,22,84,20,29.56
169,1127,66,23,99,63,46.12
169,1829,85,62,85,62,13.0
169,844,25,41,28,65,32.32
170,701,56,64,50,74,13.0
170,256,88,24,87,29,13.0
171,1352,66,46,67,97,43.36
172,2031,10,88,10,88,13.0
172,533,53,87,61,80,13.0
173,318,85,59,83,67,13.0
176,718,31,96,65,91,26.8
177,268,65,42,63,43,13.0
177,804,24,91,36,74,18.52
177,358,68,83,65,87,13.0
178,875,65,53,64,23,21.28
180,1029,29,41,29,41,13.0
181,1339,86,96,44,87,37.84
182,2300,97,52,80,0,73.49
184,1057,81,51,50,40,24.04
184,1835,73,19,62,93,61.76
184,794,61,78,52,90,15.76
185,397,83,41,79,34,13.0
186,186,89,94,89,94,13.0
187,907,81,75,65,86,21.28
187,1184,79,62,96,29,29.56
188,1107,20,90,22,55,21.28
188,620,11,76,7,59,18.52
188,511,75,57,81,56,13.0
189,530,76,47,78,61,13.0
189,1237,93,39,73,83,37.84
189,1590,49,76,24,15,50.03
191,594,7,78,7,47,18.52
192,305,64,99,68,97,13.0
194,554,94,94,86,98,13.0
194,272,27,73,27,70,13.0
194,1081,52,39,48,9,21.28
194,939,36,76,42,66,24.04
195,1821,65,66,26,31,69.58
197,1000,90,59,79,64,15.76
197,961,61,55,55,71,15.3
201,1060,67,78,45,41,37.84
203,1677,87,39,17,37,50.03
206,1449,63,48,43,87,43.36
206,581,79,62,88,64,13.0
206,1244,95,82,85,29,37.84
207,796,81,78,93,86,18.52
207,829,37,66,44,73,13.0
209,1373,56,65,20,86,37.38
